102106.80, 5350.15622, N, 01738.90316, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102107.00, 5350.15622, N, 01738.90315, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102107.20, 5350.15622, N, 01738.90314, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102107.40, 5350.15623, N, 01738.90315, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102107.60, 5350.15623, N, 01738.90315, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102107.80, 5350.15623, N, 01738.90314, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102108.00, 5350.15623, N, 01738.90313, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102108.20, 5350.15624, N, 01738.90313, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102108.40, 5350.15625, N, 01738.90314, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102108.60, 5350.15625, N, 01738.90313, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102108.80, 5350.15625, N, 01738.90313, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102109.00, 5350.15625, N, 01738.90313, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102109.20, 5350.15626, N, 01738.90313, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102109.40, 5350.15626, N, 01738.90312, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102109.60, 5350.15626, N, 01738.90311, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102109.80, 5350.15626, N, 01738.90312, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102110.00, 5350.15627, N, 01738.90312, E, Satellites: 12, lon_err: ('0.41',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102110.20, 5350.15626, N, 01738.90311, E, Satellites: 12, lon_err: ('0.41',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102110.40, 5350.15626, N, 01738.90310, E, Satellites: 12, lon_err: ('0.41',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102110.60, 5350.15626, N, 01738.90310, E, Satellites: 12, lon_err: ('0.41',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102110.80, 5350.15626, N, 01738.90311, E, Satellites: 12, lon_err: ('0.41',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102111.00, 5350.15626, N, 01738.90310, E, Satellites: 12, lon_err: ('0.41',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102111.20, 5350.15626, N, 01738.90309, E, Satellites: 12, lon_err: ('0.41',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102111.40, 5350.15626, N, 01738.90310, E, Satellites: 12, lon_err: ('0.41',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
